speaker,speaker_std,Position,Type,Party,notes
Eugenio Bertini Vinci,BERTINI,General Manager of Banco Wiese,Businessperson,NA,NA
Agustin Mantilla Campos,CAMPOS,Congressman,Congress,PAP,NA
Delegacion Israel,ISRAEL,"""Senor"" in transcript 919",Foreign,NA,NA
El Oficial EP,MILITAR DESCONOCIDO,Oficial EP,Security,NA,NA
El Coronel Ramirez,CRNL RAMIREZ,Coronel Ramirez in transcript 1300,Security,NA,NA
Carlos Portillo Vazquez,PORTILLO,Secretary General of Air Force,Security,NA,NA
Francisco Tudela,TUDELA,Foreign Minister of Peru (1995–1997) Vice President of Peru (2000),Bureaucrat,NA,NA
Vicente Silva,SILVA,Attorney; Proxy for control of Media,Media,NA,NA
Javier Alva,ALVA,Congressional Deputy (1995-2000),Congress,AP,NA
Neil Lewis,LEWIS,Legal Counselor (Prosecutor or Judge),Judiciary,NA,NA
Carl Burnet,BURNET,Legal Counselor (Prosecutor or Judge),Judiciary,NA,NA
Victor Andres Garcia,GARCIA,"Congressman (1985-1992), Presidential Candidate (2000)",Congress,AP,NA
Raquel de Lopez,DE LOPEZ,"Spouse or close relative of a foreign-linked businessman, positioned as a secondary source of information in transnational investigations.",NA,NA,NA
Smith,SMITH,"Non-local civilian with indirect relevance to investigative or contextual narratives, often involved as a family member of a potential subject.",Foreign,NA,NA
Liliana Villarreal,VILLAREAL,"Low-profile administrative actor responsible for supporting bureaucratic processes such as documentation, verification, or logistics.",NA,NA,NA
Luis Frank Aybar,AYBAR,Arms Trafficker,Illicit,NA,NA
Juan Manuel Lopez,LOPEZ,Arms Trafficker,Illicit,NA,NA
Malea,MALEA,"Operational support personnel involved in logistics, transport coordination, and surveillance for investigative or security activities.",Security,NA,NA
Gonzales,GONZALES,"Clerical or support-level administrative actor responsible for maintaining or processing records, lists, or procedural documents.",Bureaucrat,NA,NA
El Americano,AMERICANO,"Transnational operative engaged in influence peddling, covert lobbying, and intelligence-adjacent activities that blur legal and institutional boundaries.",Foreign,NA,NA
Marino Costa,COSTA,Minister of Health,Bureaucrat,NA,NA
Barry MacCaffrey,MACCAFFREY,US General focused on counter-narcotics in Peru,Foreign,NA,NA
General EP Cesar Saucedo Sanchez,SAUCEDO SANCHEZ,Commander General of the Army and President of the Group Command of the Armed Forces,Security,NA,NA
Nicolas de Bari Hermoza,HERMOZA,Commander General of the Army (1991-1998),Security,NA,NA
Almirante Antonio Ibarcena,IBARCENA,Commander General of the Navy (1996-2000),Security,NA,NA
Elesvan Bello Vasquez,BELLO VASQUEZ,Commander General of the Air Force (1992-1998),Security,NA,NA
Alberto Pandolfi,PANDOLFI,Prime Minister (1996-1999),Bureaucrat,NA,NA
Luis Percovich,PERCOVICH,AP Party co-founder and opposition party member,Elected Official,NA,NA
Dennis Jett,JETT,US Ambassador to Peru (1996-1999),Foreign,NA,NA
Patricio Arancibia,ARANCIBIA,Retired Admiral of the Chilean Navy,Foreign,NA,NA
Pablo Lupis,LUPIS,Manager of Markovich owned Firm,Businessperson,NA,NA
Ray Burnei,BURNEI,"Legal professional acting in an official or quasi-official capacity to conduct depositions, interrogations, or legal discovery",Judiciary,NA,NA
Francisco Kouri,FRANCISCO KOURI,Alex Kouri's Cousin,Illicit,NA,NA
Francisco Moncayo,MONCAYO,Ecuadorian Military Official,Foreign,NA,NA
Juan Manuel Guillen,GUILLEN,Mayor of Arequipa (1998-2000),Elected Official,NA,NA
Luis Albarracin Torres,ALBARRACIN,GENERAL DE BRIGADA,Security,NA,NA
General EP Cesar Cano Angulo,CANO ANGULO,Jefe del Estado Mayor de las Fuerzas Armadas,Security,NA,NA
General EP Julio Salazar Monro,SALAZAR,Minister of Defense and Army General,Security,NA,NA
Patricio Ricketts,RICKETTS,Journalist and Media Personality,Media,NA,NA
Humberto Rozas,ROZAS,Head of Peru's National Intelligence Service (1998-2000),Security,NA,NA
Representante de Estados Unidos,REPRESENTANTE ESTADOS UNIDOS,"Foreign government official engaged in civilian diplomacy and intergovernmental coordination, particularly in security assistance, legal cooperation, and development policy.",Foreign,NA,NA
General Delgado,GENERAL DELGADO,Commander General of the Army,Security,NA,NA
Domingo Palermo,PALERMO,Minister of Education (1996-1999),Bureaucrat,NA,NA
Enrique Chirinos,CHIRINOS,"Constituent Congressman (1992-1995), Congress Member (1995-2000)",Congress,RN,NA
Julio Vera Abad,VERA ABAD,Media Businessman; Owned Channel 9 and ATV,Media,NA,NA
Ketin Vidal,VIDAL,"Director of DIRCOTE (anti-terrorism unit) in (1991-1992), Director General of the National Police (1996–1997)",Security,NA,NA
Osman Morote,MOROTE,2nd in Command of Sendero Luminoso (Insurgency in Peru),Illicit,NA,NA
Maria Pantoja,PANTOJA,Ranking Member of Sendero Luminoso (Insurgency in Peru),Illicit,NA,NA
Oscar Doufour,DOUFOUR,"Peripheral or advisory figure in a covert or illicit network, contributing strategic or operational suggestions while maintaining a low-profile role; Publicist/Press Office",Bureaucrat,NA,NA
Alberto Kouri,ALBERTO KOURI,Lawyer and Congressman (2000),Congress,PP,NA
Carlos Bolona,BOLONA,Minister of Economy and Finance (1991-1993; 2000),Bureaucrat,NA,NA
Alamo Perez,PEREZ,"Professional journalist or media presenter facilitating high-level interviews for broadcast, particularly around politically or historically significant events.",Media,NA,NA
Santos Cenepo,CENEPO,Military Colonel,Security,NA,NA
General EP Aguirre Miguel,AGUIRRE,Army General,Security,NA,NA
Arnulfo Alvarado Cabrera,ALVARADO CABRERA,Detained under Plan Siberia,NA,NA,NA
Mayor Arroyo,ARROYO,Army Major; Chief of Security of the Fuerzas de Accion Militar,Security,NA,NA
Benigno,BENIGNO,Army officer (last name unknown),Security,NA,NA
General Bornaz Saavedra,BORNAZ SAAVEDRA,Army General,Security,NA,NA
General Bravo,BRAVO,General; coordinated the official response to the Yanamayo prison riot (2000),Security,NA,NA
Alberto Bustamante Belaunde,BUSTAMANTE,Secretary of Justice (1999-2000),Bureaucrat,NA,NA
General Cardenas,CARDENAS,Army General; General Staff officer,Security,NA,NA
Cesar,CESAR,Aide to Montesinos at the SIN (last name unknown),Bureaucrat,NA,Identified from vocatives in transcript 50
Almirante Colunge,COLUNGE,"Navy Admiral; head of ENAPU, the national ports authority",Bureaucrat,NA,NA
Crousillat Lopez Torres,CROUSILLAT LOPEZ TORRES,Owner of America Television,Media,NA,"Father of Jose Francisco Crousillat Carreno. Given name unsettled: transcript 52 says Francisco, transcripts 66 and 76 say Jose Francisco"
Del Mar Colina,DEL MAR COLINA,Businessman questioned in the FARC arms-trafficking searches,NA,NA,NA
General EP Diaz Araujo Luis,DIAZ ARAUJO,Army General,Security,NA,NA
Capitan Espinoza,ESPINOZA,Army Captain,Security,NA,NA
Coronel Fablish Garaycoa,FABLISH,Army Colonel,Security,NA,NA
Flor,FLOR,Domestic employee in the Lopez Rodriguez household (last name unknown),NA,NA,NA
Rhaquel Granda Zapata,GRANDA,Associate of Luis Frank Aybar Cancho,NA,NA,NA
Fernando Gross,GROSS,Jurist; advised on Peru's withdrawal from the Inter-American Court (1999),Foreign,NA,"Given name uncertain: the transcript labels say Fernando, the archive catalogue says Enrique"
Heather,HEATHER,Member of the United States delegation (last name unknown),Foreign,NA,NA
Henry,HENRY,(last name unknown),NA,NA,NA
Humberto,HUMBERTO,Aide to General Saucedo Sanchez (last name unknown),Security,NA,Not Humberto Rozas; this man carries General Saucedo's briefcase
General Indacochea,INDACOCHEA,Army General,Security,NA,NA
Leopoldo,LEOPOLDO,Subordinate Army officer (last name unknown),Security,NA,NA
General Magni,MAGNI,Army General,Security,NA,NA
Manuel Delgado Parker,MANUEL DELGADO PARKER,Media businessman,Media,NA,Brother of Genaro Delgado Parker
Gonzalo Menendez,MENENDEZ,Chilean businessman; representative of the Luksic group and Lucchetti in Peru,Foreign,NA,The person the lucchetti note refers to as el senor Lucchetti. Transcript 5 is titled Dialogo con chileno
Luis Alberto Meza Rodriguez,MEZA RODRIGUEZ,Subject of the FARC arms-trafficking searches,NA,NA,NA
Coronel Purusana,PURUSANA,Army Colonel; Chief of Administrative Staff of the Second Infantry Division in Ayacucho,Security,NA,NA
Ramos,RAMOS,Aide to Montesinos; handled media contracts,Bureaucrat,NA,NA
General Alfredo Rodriguez,RODRIGUEZ,Army General,Security,NA,NA
Alfredo Romero Castillo,ROMERO CASTILLO,Detained under Plan Siberia,NA,NA,NA
Coronel Sanchez,SANCHEZ,Army Colonel; Deputy Director of the Escuela Superior de Guerra,Security,NA,NA
Hector Solis,SOLIS,Lawyer; contacted judges on Montesinos's instructions,Judiciary,NA,NA
General Suarez Carranza,SUAREZ CARRANZA,Army General,Security,NA,NA
Gisela Valcarcel,VALCARCEL,Television presenter,Media,NA,NA
Valdez,VALDEZ,NA,NA,NA,NA
Cabo Vega,VEGA,Army Corporal assigned to Montesinos,Security,NA,NA
Vivanco,VIVANCO,Police or military officer,Security,NA,NA
Winter Zuzunaga,WINTER ZUZUNAGA,Co-owner of Cable Canal de Noticias (CCN),Media,NA,Covers the brothers Samuel and Mendel Winter Zuzunaga. A stage direction confirms transcript 76 is Samuel; transcript 78 has both brothers present and its labels do not distinguish them
